epoch,train_loss,val_loss
1,1.6533635625375502,1.5130956909235787
2,0.7803839092904871,1.3382158367072834
3,0.6203204818684254,1.312139316516764
4,0.5462745127541823,1.3075336919111364
5,0.5147552591045613,1.2554771304130554
6,0.4792425900886729,1.2612535410067613
7,0.4531933940616269,1.2478441736277412
8,0.4369627097129318,1.2451475192518795
9,0.42500934379675426,1.240283308660283
10,0.4150297064924845,1.2404505382565891
11,0.4137573969918628,1.2388396105345558
12,0.4138908583757489,1.2358954794266646
13,0.4225327056255703,1.2300395877922283
14,0.42092567323126195,1.2431572938666624
15,0.42908565970984375,1.2229176444165848
16,0.4305345390236151,1.2508734008845162
17,0.4428448930981295,1.2441741876742418
18,0.43969749503357464,1.245491054128198
19,0.42173119034247974,1.2186401538989122
20,0.4376029542649271,1.2462143039002138
21,0.41060480302156405,1.2377345228896421
22,0.41718949924122706,1.249750826288672
23,0.4008392615373744,1.2295535715187298
24,0.3879449388315511,1.2454972039250767
25,0.38364580985607605,1.2199314657379599
26,0.37457061869271463,1.2124223200713886
27,0.3670206258967361,1.216461825020173
28,0.3629248412542565,1.2120496560545528
29,0.36374575030413037,1.211454649181927
30,0.36612923055824215,1.2033386598615086
31,0.356485306397553,1.2100649598766775
32,0.36107162179830965,1.2070517294547136
33,0.35365719042608146,1.2159903943538666
34,0.35989823327823117,1.2284536098732668
35,0.36040429881208796,1.2073141932487488
