true_label,true_name,retrieved_label,retrieved_name,count
24,Bent-over Dumbbell Tricep Extension,34,Kneeling Right Arm Raise,3
34,Kneeling Right Arm Raise,33,Kneeling Right Leg Backward Stretch,3
