Method,Top-1 Acc,Top-5 Acc,Macro-F1
Random Forest (handcrafted),0.739,-,0.679
Linear Probe (frozen encoder),0.6931818181818182,0.989,0.6687868750069706
MLP Probe (frozen encoder),0.6931818181818182,0.989,0.5940596915893358
Fine-tuning (pre-trained),0.7272727272727273,1.000,0.672860285820552
From Scratch (random init),0.7840909090909091,1.000,0.7561213490067246
