Metodo,Accuracy,Recall@5,MRR
One-Shot (Pose→Pose),0.4772727272727273,0.9545454545454546,0.6617424242424242
One-Shot Mean (10 runs),0.43522727272727274,-,-
Zero-Shot (Template),0.0,0.4090909090909091,0.1925669027941755
Zero-Shot (FLAG3D Mean),0.0,0.5454545454545454,0.2449609733700643
