Metodo,Accuracy,Recall@5,MRR
One-Shot (Pose→Pose),0.4772727272727273,0.9545454545454546,0.6617424242424242
One-Shot Mean (10 runs),0.43522727272727274,-,-
Zero-Shot (Template),0.07954545454545454,0.2727272727272727,0.218610619178801
Zero-Shot (FLAG3D Mean),0.07954545454545454,0.6022727272727273,0.28069821592548866
