k,acc_mean,acc_std,f1_mean,f1_std,top5_mean,top5_std,num_runs
1,0.41647727272727275,0.0650470561092656,0.3358742283176429,0.07309209506381839,0.9431818181818181,0.03358880641650473,20
2,0.48749999999999993,0.05467240012440648,0.390704519975313,0.052525310326722786,0.9630681818181819,0.024141129833341983,20
5,0.5136363636363636,0.068539730447732,0.4154981176058081,0.06527766115093972,0.9539772727272726,0.015412181592909104,20
10,0.5272727272727273,0.045514314770902696,0.4338926534066145,0.03528418204449444,0.9568181818181817,0.009471690380301037,20
